id,zipcode4,zipcode6,zipcode6id,housetype,lot-area,house-area,garden-size,rooms,bathrooms,x-coor,y-coor,buildyear,retailvalue,askingprice,energylabel,energyeff,valuationdate,street,subdistrict,district,city,dist-from-train
5140,3452,3452MN,3452MN140,woonhuis,172,140,48,6,1,52.0914,5.0140,2019,808,715,A,1,2024-11-01,Dassenburcht ,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.57
5141,3452,3452MN,3452MN141,woonhuis,139,163,72,5,2,52.0914,5.0141,2019,825,775,A,1,2024-08-15,Dassenburcht ,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.57
5142,3452,3452MN,3452MN142,woonhuis,151,163,74,6,2,52.0915,5.0141,2019,853,785,A,1,2024-10-31,Dassenburcht ,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.56
5143,3453,3453VN,3453VN143,woonhuis,107,112,24,5,1,52.0795,5.0177,2001,543,475,A,1,2024-07-01,Kruiswortel,Veldhuizen,Vleuten-De Meern,De Meern,6.39
5144,3453,3453VN,3453VN144,woonhuis,107,106,26,5,1,52.0791,5.0176,2000,490,429,A,1,2024-04-26,Kruiswortel,Veldhuizen,Vleuten-De Meern,De Meern,6.40
5145,3544,3544VK,3544VK145,woonhuis,125,87,Unspecified,4,1,52.0904,5.0470,2001,560,490,A,1,2024-09-03,Zandooghof,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,4.32
5146,3554,3554CS,3554CS146,woonhuis,67,116,20,5,1,52.1118,5.0991,1998,654,550,A,1,2024-10-28,Adriaan Menninckkwartier,Zuilen-noord en -oost,Noord-West,Utrecht,2.68
5147,3554,3554CS,3554CS147,woonhuis,68,157,17,7,1,52.1119,5.0989,1998,650,650,B,0,2024-07-16,Adriaan Menninckkwartier,Zuilen-noord en -oost,Noord-West,Utrecht,2.69
5148,3554,3554CS,3554CS148,woonhuis,68,116,21,5,1,52.1119,5.0990,1998,637,525,A,1,2024-08-13,Adriaan Menninckkwartier,Zuilen-noord en -oost,Noord-West,Utrecht,2.69
5149,3561,3561ES,3561ES149,woonhuis,107,140,45,6,1,52.1131,5.1300,2002,656,539,A+,1,2024-09-16,Anna van Burendreef,Taagdreef-Wolgadreef,Overvecht,Utrecht,3.02
5150,3572,3572SW,3572SW150,woonhuis,26,54,0,3,1,52.0973,5.1307,1900,396,375,F,0,2024-02-16,Steenstraat,Wittevrouwen-Zeeheldenbuurt,Noord-Oost,Utrecht,1.69
5151,3572,3572SW,3572SW151,woonhuis,65,106,14,5,2,52.0976,5.1309,1860,620,645,D,0,2024-08-21,Steenstraat,Wittevrouwen-Zeeheldenbuurt,Noord-Oost,Utrecht,1.72
5152,3572,3572SW,3572SW152,woonhuis,61,85,10,5,1,52.0978,5.1309,1860,670,585,D,0,2024-07-01,Steenstraat,Wittevrouwen-Zeeheldenbuurt,Noord-Oost,Utrecht,1.74
5153,3511,3511VG,3511VG153,woonhuis,60,60,24,3,1,52.0878,5.1209,1993,475,439,B,0,2024-04-03,Zwaansteeg,Binnenstad city,Binnenstad,Utrecht,0.73
5154,3511,3511VG,3511VG154,woonhuis,80,84,16,2,1,52.0878,5.1211,1320,490,495,Unspecified,Unspecified,2024-06-18,Zwaansteeg,Binnenstad city,Binnenstad,Utrecht,0.75
